T | 0 | this
T | 0 | this
D | 0 | this | 2020-04-04
E | 0 | this | 2020-04-04
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-08
E | 0 | this | 2020-09-08
E | 0 | this | 2020-08-29
E | 0 | this | 2020-09-12
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-08
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-08
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-08
E | 0 | this | 2020-10-05
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-07
E | 0 | this | 2020-09-07
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-06
E | 0 | here | 2020-09-08
E | 0 | here | 2020-09-12
E | 0 | this | 2020-09-06
E | 0 | this | 2020-09-12
E | 0 | this | 2020-09-11
E | 0 | this | 2020-09-11
E | 0 | this | 2020-09-06
